:START_ID(Process),:END_ID(File)
08846768-7161-68ce-bb1a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_hw3wtffd.ynj.ps1
08846768-7168-68ce-e51a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_ohpup4lf.qxj.ps1
08846768-7169-68ce-e71a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_luczuxr4.zgt.ps1
08846768-7169-68ce-e91a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_qgg01xzv.qd1.ps1
08846768-7169-68ce-ea1a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_vc2zbfrl.gi5.ps1
08846768-7169-68ce-ec1a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_cr5fcch0.2xs.ps1
08846768-716a-68ce-ee1a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_5pttcqat.rpg.ps1
08846768-716a-68ce-f31a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_gjgeknix.uv1.ps1
08846768-716d-68ce-fb1a-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_bnjlmpnv.fxk.ps1
08846768-716f-68ce-021b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_unbcdgco.5n0.ps1
08846768-7170-68ce-061b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_d42wt3hb.jvj.ps1
08846768-7170-68ce-081b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_awwlpjrb.uw2.ps1
08846768-7170-68ce-0a1b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_ou10lja2.kk3.ps1
08846768-7171-68ce-0c1b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_dqcy4dpb.kax.ps1
08846768-7172-68ce-0d1b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_r5qdb2c5.0oh.ps1
08846768-7173-68ce-151b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_njipj0ys.e1t.ps1
08846768-7173-68ce-171b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_bgn2pkg0.vc3.ps1
08846768-7176-68ce-1c1b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_r34gemcf.v2l.ps1
08846768-7179-68ce-1e1b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_nytbtom4.nbx.ps1
08846768-717a-68ce-201b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_ugudvesl.qad.ps1
08846768-7183-68ce-241b-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_toxgjmco.3jo.ps1
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\ATOMIC-T1053.005
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\AtomicTask
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\AtomicTaskModifed
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\CompMgmtBypass
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\EventViewerBypass
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\Run Notepad
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\T1053_005_OnLogon
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\T1053_005_OnStartup
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\T1053_005_WMI
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\atomic red team
08846768-7405-68ce-2800-000000000e00,C:\Windows\System32\Tasks\spawn
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\CDS.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\Microsoft.Exchange.Clients.SmimeAX.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\Microsoft.Internal.EmailMessage.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\Microsoft.Internal.Mime.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\SeamlessLaunch.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\WebView2Loader.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\boost_json-vc143-mt-x64-1_87.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\boost_program_options-vc143-mt-x64-1_87.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\bz2.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\concrt140.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\cpprest_2_10.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\lowTrustBackgroundTask.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\minizip.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\mmoutlookwebcontext\mmoutlookwebcontext.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\mmpiehost\mmpiehost.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\mmwebhostsystem\mmwebhostsystem.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\nh-mod-auth\nh-mod-auth.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\olk-mod-general\olk-mod-general.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140_1.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140_2.dll
